City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Maragogi,BR,82.8,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
410,Kokopo,PG,76.98,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
411,Porto Novo,BJ,75.87,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
412,Sechura,PE,76.1,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
414,Luwuk,ID,76.77,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
417,Kerrville,US,79.63,scattered clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
419,Sao Jose Da Coroa Grande,BR,82.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
420,Marsh Harbour,BS,77.83,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
421,Progreso,MX,84.31,light rain,21.2833,-89.6667,Playa Linda Hotel
424,Santa Ines,BR,89.02,overcast clouds,-3.6667,-45.38,Palace hotel
425,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
427,Isla Mujeres,MX,87.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
428,Puerto El Triunfo,SV,87.96,overcast clouds,13.2833,-88.55,Hotel Jardin
437,Merauke,ID,77.09,broken clouds,-8.4667,140.3333,
439,Aden,YE,84.31,few clouds,12.7794,45.0367,Sama Emirate Hotel
441,Khao Yoi,TH,76.91,light rain,13.2403,99.8243,เปิ้ล ทำเบาะ
443,Madimba,TZ,75.49,clear sky,-10.4,40.3333,
445,Antalaha,MG,75.02,few clouds,-14.9003,50.2788,Hotel Vitasoa
447,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
451,Kudat,MY,78.73,scattered clouds,6.8837,116.8477,Dream Garden Hotel
453,Vanimo,PG,76.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
461,Howard Springs,AU,75.11,light rain,-12.497,131.047,buffalo beach hostel
462,Chipinge,ZW,76.66,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
463,Latung,PH,81.52,overcast clouds,5.5,120.8833,
